song_name,song_id,artist_name,artist_id,genre,album_name,date_released,date_added,popularity
"Zara Sa (From ""Jannat"")",2UBINzEIsEHU0bAohtPYfb,Pritam,1wRPtKGflJrBx9BmLsSwlU,"bollywood, hindi pop, desi, desi pop, sufi",I Love You...Forever,2012-01-30,2025-01-30T19:50:24Z,5
"Dil Ibaadat (From ""Tum Mile"")",76BZDKvEJsGaivUiDRSXn1,Pritam,1wRPtKGflJrBx9BmLsSwlU,"bollywood, hindi pop, desi, desi pop, sufi",#Hashmania (Emraan Hashmi's Biggest Hits!),2015-05-07,2025-01-30T19:50:24Z,2
Phir Se Ud Chala,1kcV2LJxt5v0s2cEGtEJ5i,Mohit Chauhan,5GnnSrwNCGyfAU4zuIytiS,"bollywood, hindi pop, sufi, desi",Rockstar,2011-10-01,2025-01-30T19:50:24Z,65
Jo Bhi Main,2MmAYegcUty1DmG0Gw7AMh,Mohit Chauhan,5GnnSrwNCGyfAU4zuIytiS,"bollywood, hindi pop, sufi, desi",Rockstar,2011-10-01,2025-01-30T19:50:24Z,54
Kun Faya Kun,7F8RNvTQlvbeBLeenycvN6,A.R. Rahman,1mYsTxnqsietFxj1OgoGbG,"tamil pop, kollywood, bollywood, sufi, hindi pop, desi, tamil dance",Rockstar,2011-10-01,2025-01-30T19:50:24Z,68
Saadda Haq,7k3jpyYPnVnbO0p7iejWxL,Mohit Chauhan,5GnnSrwNCGyfAU4zuIytiS,"bollywood, hindi pop, sufi, desi",Rockstar,2011-10-01,2025-01-30T19:50:24Z,54
Hale Dil,6GQK4G5o60E8YA18DGpAzv,Harshit Saxena,4auibajZua9Ld8sPMOmPYc,"bollywood, hindi pop",Murder 2,2011-05-30,2025-01-30T19:50:24Z,68
Phir Mohabbat,2b2HutIDmoeBnnKRWDLAtV,Mohammed Irfan,6QtJ6BVdj43aDpgjnVp2tY,"hindi pop, bollywood",Murder 2,2011-05-30,2025-01-30T19:50:24Z,64
Aa Zara,42epVqODeb3JYwG8XwahPi,Sunidhi Chauhan,3eDT9fwXKuHWFvgZaaYC5v,"bollywood, desi, hindi pop, desi pop",Murder 2,2011-05-30,2025-01-30T19:50:24Z,58
Aye Khuda,1SdMHj6tJp2YZ5INflJR1T,Kshitij Tarey,1W8O3VMkoLKHlnPtojVU8l,"sufi, marathi pop, bollywood, qawwali",Murder 2,2011-05-30,2025-01-30T19:50:24Z,57
Nadaan Parinde,6Z394Nd4gW6Ts9hmu3NUjx,A.R. Rahman,1mYsTxnqsietFxj1OgoGbG,"tamil pop, kollywood, bollywood, sufi, hindi pop, desi, tamil dance",Rockstar,2011-10-01,2025-01-30T19:50:24Z,61
Deewana Kar Raha Hai,2tva3nN2kQhBjHMC7Zlty6,Javed Ali,4W91bbPB2CTSsHwt7eqNl7,"sufi, bollywood, hindi pop, qawwali, desi pop, desi",Raaz 3,2012-08-03,2025-01-30T19:50:24Z,68
Khuda Jaane,0gPgdRfB4jdGrlyXS0Vx78,Vishal-Shekhar,6Mv8GjQa7LKUGCAqa9qqdb,"bollywood, desi, hindi pop, desi pop",Bachna Ae Haseeno,2008-07-05,2025-01-30T19:50:24Z,71
Haan Tu Hain,4vgCpNUUcpEIBifidhQOnR,Pritam,1wRPtKGflJrBx9BmLsSwlU,"bollywood, hindi pop, desi, desi pop, sufi",Jannat (Original Motion Picture Soundtrack),2008-03-07,2025-01-30T19:50:24Z,65
"Tu Hi Meri Shab Hai - From ""Gangster""",1ufeADg0jivKpOFiAv3PYg,Pritam,1wRPtKGflJrBx9BmLsSwlU,"bollywood, hindi pop, desi, desi pop, sufi",Gangster (Original Motion Picture Soundtrack),2006-09-08,2025-01-30T19:50:24Z,63
Such Keh Raha Hai,5sRH0l4iaWoyWbgqybttrY,KK,5HpoEZlyHKEQfUkXESPJ98,bollywood,Rehnaa Hai Terre Dil Mein (Original Motion Picture Soundtrack),2001-12-01,2025-01-30T19:50:24Z,42
Pee Loon,52itZ0w0CydihB2JCZEIft,Pritam,1wRPtKGflJrBx9BmLsSwlU,"bollywood, hindi pop, desi, desi pop, sufi",Once Upon A Time In Mumbaai,2010-06-29,2025-01-30T19:50:24Z,70
"Woh Lamhe Woh Baatein - From ""Zeher""",21kImg7AxLbl7rrciuAwoB,Atif Aslam,2oSONSC9zQ4UonDKnLqksx,"bollywood, hindi pop, desi, sufi, qawwali, desi pop",Zeher (Original Motion Picture Soundtrack),2005-03-25,2025-01-30T19:50:24Z,57
Tu Hi Haqeeqat,3OLFqbd9ZeVjaUKTiaLsD6,Pritam,1wRPtKGflJrBx9BmLsSwlU,"bollywood, hindi pop, desi, desi pop, sufi",Tum Mile (Original Motion Picture Soundtrack),2009-09-08,2025-01-30T19:50:24Z,66
Tum Ho,7uNnlVit5qDvfOje0pqICF,Mohit Chauhan,5GnnSrwNCGyfAU4zuIytiS,"bollywood, hindi pop, sufi, desi",Rockstar,2011-10-01,2025-01-30T19:50:24Z,66
